X,Y,Nedbor,Month
1.0,0.5,66.0,1.0
1.0,0.5,50.0,2.0
1.0,0.5,57.0,3.0
1.0,0.5,49.0,4.0
1.0,0.5,44.0,5.0
1.0,0.5,62.0,6.0
1.0,0.5,59.0,7.0
1.0,0.5,59.0,8.0
1.0,0.5,74.0,9.0
1.0,0.5,64.0,10.0
1.0,0.5,89.0,11.0
1.0,0.5,128.0,12.0
1.0,8.0,97.0,1.0
1.0,8.0,88.0,2.0
1.0,8.0,91.0,3.0
1.0,8.0,92.0,4.0
1.0,8.0,81.0,5.0
1.0,8.0,66.0,6.0
1.0,8.0,115.0,7.0
1.0,8.0,120.0,8.0
1.0,8.0,130.0,9.0
1.0,8.0,111.0,10.0
1.0,8.0,122.0,11.0
1.0,8.0,190.0,12.0
2.0,2.0,90.0,1.0
2.0,2.0,93.0,2.0
2.0,2.0,122.0,3.0
2.0,2.0,73.0,4.0
2.0,2.0,78.0,5.0
2.0,2.0,68.0,6.0
2.0,2.0,119.0,7.0
2.0,2.0,102.0,8.0
2.0,2.0,115.0,9.0
2.0,2.0,153.0,10.0
2.0,2.0,204.0,11.0
2.0,2.0,172.0,12.0
2.0,9.0,118.0,1.0
2.0,9.0,147.0,2.0
2.0,9.0,168.0,3.0
2.0,9.0,93.0,4.0
2.0,9.0,102.0,5.0
2.0,9.0,85.0,6.0
2.0,9.0,128.0,7.0
2.0,9.0,138.0,8.0
2.0,9.0,130.0,9.0
2.0,9.0,132.0,10.0
2.0,9.0,195.0,11.0
2.0,9.0,305.0,12.0
3.0,1.0,109.0,1.0
3.0,1.0,79.0,2.0
3.0,1.0,121.0,3.0
3.0,1.0,85.0,4.0
3.0,1.0,66.0,5.0
3.0,1.0,61.0,6.0
3.0,1.0,109.0,7.0
3.0,1.0,111.0,8.0
3.0,1.0,85.0,9.0
3.0,1.0,131.0,10.0
3.0,1.0,118.0,11.0
3.0,1.0,147.0,12.0
5.0,2.0,111.0,1.0
5.0,2.0,102.0,2.0
5.0,2.0,130.0,3.0
5.0,2.0,90.0,4.0
5.0,2.0,80.0,5.0
5.0,2.0,89.0,6.0
5.0,2.0,104.0,7.0
5.0,2.0,127.0,8.0
