X,Y,Vindstyrke,Month
-12.0,12.0,12.13,1.0
-12.0,12.0,15.48,2.0
-12.0,12.0,15.31,3.0
-12.0,12.0,12.81,4.0
-12.0,12.0,11.05,5.0
-12.0,12.0,10.08,6.0
-12.0,12.0,16.44,7.0
-12.0,12.0,18.54,8.0
-12.0,12.0,19.2,9.0
-12.0,12.0,13.99,10.0
-12.0,12.0,18.1,11.0
-12.0,12.0,32.0,12.0
1.0,12.0,7.86,1.0
1.0,12.0,7.6,2.0
1.0,12.0,6.69,3.0
1.0,12.0,4.54,4.0
1.0,12.0,3.99,5.0
1.0,12.0,7.01,6.0
1.0,12.0,8.88,7.0
1.0,12.0,7.29,8.0
1.0,12.0,7.71,9.0
1.0,12.0,6.98,10.0
1.0,12.0,13.29,11.0
1.0,12.0,13.99,12.0
2.0,-1.0,3.73,1.0
2.0,-1.0,3.6,2.0
2.0,-1.0,5.51,3.0
2.0,-1.0,3.88,4.0
2.0,-1.0,3.3,5.0
2.0,-1.0,3.16,6.0
2.0,-1.0,4.67,7.0
2.0,-1.0,5.19,8.0
2.0,-1.0,4.48,9.0
2.0,-1.0,4.18,10.0
2.0,-1.0,7.58,11.0
2.0,-1.0,8.63,12.0
3.0,3.0,8.53,1.0
3.0,3.0,9.73,2.0
3.0,3.0,8.21,3.0
3.0,3.0,6.6,4.0
3.0,3.0,6.35,5.0
3.0,3.0,6.81,6.0
3.0,3.0,9.77,7.0
3.0,3.0,11.79,8.0
3.0,3.0,12.36,9.0
3.0,3.0,12.67,10.0
3.0,3.0,10.56,11.0
3.0,3.0,16.47,12.0
2.5,7.5,1.17,1.0
2.5,7.5,1.25,2.0
2.5,7.5,1.29,3.0
2.5,7.5,1.37,4.0
2.5,7.5,0.78,5.0
2.5,7.5,0.98,6.0
2.5,7.5,1.7,7.0
2.5,7.5,1.23,8.0
2.5,7.5,1.9,9.0
2.5,7.5,1.43,10.0
2.5,7.5,1.8,11.0
2.5,7.5,2.23,12.0
4.5,5.0,6.19,1.0
4.5,5.0,7.17,2.0
4.5,5.0,6.0,3.0
4.5,5.0,5.44,4.0
4.5,5.0,4.06,5.0
4.5,5.0,5.51,6.0
4.5,5.0,8.12,7.0
4.5,5.0,6.06,8.0
4.5,5.0,6.32,9.0
4.5,5.0,9.44,10.0
4.5,5.0,7.66,11.0
4.5,5.0,10.61,12.0
5.5,2.0,4.67,1.0
5.5,2.0,5.24,2.0
5.5,2.0,5.62,3.0
5.5,2.0,4.75,4.0
5.5,2.0,3.52,5.0
5.5,2.0,5.18,6.0
5.5,2.0,6.81,7.0
5.5,2.0,5.67,8.0
5.5,2.0,6.41,9.0
5.5,2.0,6.0,10.0
5.5,2.0,8.69,11.0
5.5,2.0,9.81,12.0
5.0,4.0,3.74,1.0
5.0,4.0,4.06,2.0
5.0,4.0,3.59,3.0
5.0,4.0,2.71,4.0
5.0,4.0,3.06,5.0
5.0,4.0,3.18,6.0
5.0,4.0,3.92,7.0
5.0,4.0,4.77,8.0
5.0,4.0,3.65,9.0
5.0,4.0,5.5,10.0
5.0,4.0,4.6,11.0
5.0,4.0,8.43,12.0
6.0,11.0,2.08,1.0
6.0,11.0,1.53,2.0
6.0,11.0,1.95,3.0
6.0,11.0,1.11,4.0
6.0,11.0,1.33,5.0
6.0,11.0,1.08,6.0
6.0,11.0,1.47,7.0
6.0,11.0,1.93,8.0
6.0,11.0,1.84,9.0
6.0,11.0,1.94,10.0
6.0,11.0,2.48,11.0
6.0,11.0,3.36,12.0
7.5,5.5,2.53,1.0
7.5,5.5,3.2,2.0
7.5,5.5,3.16,3.0
7.5,5.5,2.52,4.0
7.5,5.5,1.87,5.0
7.5,5.5,2.33,6.0
7.5,5.5,3.8,7.0
7.5,5.5,3.45,8.0
7.5,5.5,4.05,9.0
7.5,5.5,3.05,10.0
7.5,5.5,5.03,11.0
7.5,5.5,7.28,12.0
7.5,6.0,0.35,1.0
7.5,6.0,0.3,2.0
7.5,6.0,0.37,3.0
7.5,6.0,0.27,4.0
7.5,6.0,0.33,5.0
7.5,6.0,0.32,6.0
7.5,6.0,0.38,7.0
7.5,6.0,0.48,8.0
